orderid,Qty,sku
407-7449783-9563542,1,WC-04
408-5800800-0142730,1,WC-45
405-0521643-3081113,1,WC-47
405-7808529-0273151,1,WC-70
171-4669813-7289134,1,WP-121
404-3329975-1109139,1,WP-18
408-7863023-7897122,1,WP-351
407-3315494-6748307,1,WP-50
404-0360627-7201108,1,Cap-RabbitCartoon-Grey
404-7412229-3385906,2,PlainCap_Blue
404-4332936-7062752,1,BabyHatButton-Yellow
404-6545290-2278736,2,2.5_Bracelet_Orange
406-6065169-4072354,1,BC-12
403-4175134-7278724,1,SK-05
408-1874770-4935527,1,L_BabySocks_Tigger-0-8 Years
406-4367705-9968315,1,BottleOpener_Deer
405-0408166-5951567,3,Safety Strip Guard Protector_Brown
408-8022550-6971532,2,Safety Strip Guard Protector_Brown
408-6608032-6581910,2,WaterPouch_Blue
404-3412313-7725925,1,BL-230
408-0506549-0823540,2,Set Of 3 Spatula Set_Black
404-9997146-4778767,3,Safety Strip Guard Protector_Grey
406-1501555-1910745,2,5_RoundBottleCap
406-2181666-8552355,2,WA-04
406-7168595-0550721,1,BabyLeggings-Pink-0-6M
402-3352602-9594730,2,Safety Strip Guard Protector_Brown
407-5440134-1177138,1,BabyLeggings-Black-12-24M
408-6580227-2591506,1,BabyLeggings-Purple-0-6M
402-6826609-8821905,2,PlainCap_BlackStrip
406-9266535-4805911,1,Goggles-MickeyMouse-Black&Gray
404-9736540-2045127,1,SK-04
403-1649048-6455512,1,Cap-PrintedBalaclava-Black
404-0042241-2961140,1,KL-Socks-Purple Grey-Lion
404-6597074-4696367,2,2.5_Bracelet_Orange
408-3468755-9413934,2,Cap-PrintedBalaclava-Khaki
402-1610085-5201953,2,Safety Strip Guard Protector_Brown
407-6219961-6502708,1,BabyLeggings-DarkGrey-12-24M
